id,reason
02afef0f-63b9-455b-84a0-7d505499b384,no_nb06_record
02b126a1-2bb2-43a2-83f4-cde39e015e46,no_nb06_record
02b4e2b3-af14-41e2-a4c3-e89bb0efe3c8,no_nb06_record
02b6e3a2-fb0b-4fea-8a0c-b60cd89b6304,no_nb06_record
02d646cc-6617-45e8-a0bc-e06219e09092,no_nb06_record
02e2ad9a-5784-4e72-baa8-092dba71937f,no_nb06_record
02e6c5f7-7420-436c-9dd5-17653aec8c9f,no_nb06_record
02f22b4f-b782-4217-aadb-de5c2478b524,no_nb06_record
03019af8-8c67-4b71-8fcf-1ca385d36df6,standalone_vl_invalid(vulnerability)
030841b7-f5a6-425f-884e-abf1da938698,no_nb06_record
0309c184-9a6a-4cef-9093-88aa0ef15fd9,no_nb06_record
0309f092-f6d9-42fc-8ebf-0454ee3ee730,no_nb06_record
030d127d-b1b1-414b-9459-932b6c19c5a5,no_nb06_record
030ea0b4-7f44-4887-bb51-4ed1179a093e,no_nb06_record
0312d689-823c-43aa-b327-bd1e192a9d05,no_nb06_record
03159616-56c9-4172-9c3a-1c84c700a11f,no_nb06_record
0317ef9f-4689-43ee-9670-c73e7fb4f79d,no_nb06_record
0319e1f5-971d-4569-b51c-cdd18137111c,no_nb06_record
031aa640-5e32-4e27-aa38-e2e667b165e4,no_nb06_record
0329cb05-a0c4-41a8-8443-045aea3dbc76,no_nb06_record
03441778-0d69-42c8-a887-d6430663f2e8,no_nb06_record
034949a2-39cb-47b0-8fa9-d31948def967,no_nb06_record
03527d5c-b1d4-4104-a5de-b9fef319c820,no_nb06_record
035b0a01-3295-4223-a67e-f6b35751defa,no_nb06_record
0364a4b5-63b6-4f5a-9e43-22be08f187b3,no_nb06_record
037291fe-0546-4c50-a335-01a962f32a3e,no_nb06_record
037c4a29-9282-4245-aebb-d4aca2d9ebc3,no_nb06_record
037d3254-0cca-4217-b1a5-9d18a3299b0a,no_nb06_record
037edf10-d21f-4d47-8db4-80b4301e2ac2,no_nb06_record
038192fe-1c15-4494-9d7e-69653101df74,no_nb06_record
038b52c5-3f10-454d-a18a-3393e272eaed,no_nb06_record
0395f793-a3e1-4270-9072-d82bfa7035e1,no_nb06_record
03b389fe-7f11-4dcb-a20e-f4b87c93cf9d,no_nb06_record
03bb8228-3926-4be9-9daa-e435d11212fb,no_nb06_record
03c18584-48cf-4612-a588-0935e05e0cb1,no_nb06_record
03c28d49-abab-453e-84e2-fd4f1cfa1597,no_nb06_record
03c95eef-e3c5-40f6-9c86-9dcdc692be03,no_nb06_record
03ca6b74-ab69-4fa0-a10c-6df188416148,no_nb06_record
03d0fcea-469a-473c-842a-8f5244480ffa,no_nb06_record
03d7e4c5-21cb-4d49-be62-685fac54613d,no_nb06_record
03e14dac-aad4-4cd4-8886-b8d5875411ed,no_nb06_record
03e22d89-88ca-4c64-9a33-2c52f29eb0ca,no_nb06_record
03e7edee-7fb9-4e5b-a52e-1771f5b29b4c,no_nb06_record
03ee9182-e385-472e-ba89-f5626d7781b4,no_nb06_record
03f1322b-5571-4f03-95bc-90e6913f574b,no_nb06_record
03fca57d-e69b-429c-b332-1ae923c158fd,no_nb06_record
03fd2c23-f3da-4b36-9ce0-69b7040b2da0,no_nb06_record
040602ae-ff7f-45d0-bcfd-2cec15c6f1a6,no_nb06_record
041de86e-1e09-4545-8a20-5fa214a9171f,no_nb06_record
04220d2e-d883-412f-b56a-36b101a7d409,no_nb06_record
0426a4b5-15a7-491c-be44-82ee50a0301a,no_nb06_record
042c1a8f-ae1d-463b-861c-b83e35219e48,no_nb06_record
04321c02-c04b-4e8f-8cfa-a12cda366b3f,no_nb06_record
043692e0-cc38-4c1e-aa5d-fb579771a9ca,standalone_vl_invalid(loss)
0438a270-18d4-4792-aa5c-63152f8f471a,no_nb06_record
0439f646-df5a-41b1-b787-d7ea261712dc,no_nb06_record
044df0d8-e08a-4d60-99aa-cbebfcbcb718,no_nb06_record
045057fc-2d4d-4bad-8703-3278d03ca896,no_nb06_record
0453224c-92d5-4eed-a93c-5a465ef85883,no_nb06_record
045a48ab-4e07-4b86-941d-12d6df395014,no_nb06_record
045acc82-f017-45f3-80d9-04815195038e,standalone_vl_invalid(loss)
0460ebf0-8015-49e0-865c-c31a1975a475,no_nb06_record
0467ca84-7693-4df6-acf5-3cc43e671916,no_nb06_record
046bd008-54f2-42f9-8f15-1e198f2a3ffd,no_nb06_record
04792635-560b-4b93-b467-b44f1b785ab1,no_nb06_record
0481c3fa-e93b-4ba0-927d-20292e508fe1,no_nb06_record
0484f5a1-84f5-4a91-94e5-64e10fc2bd79,no_nb06_record
0486600b-5efa-47f7-a047-fabcad172bcb,no_nb06_record
0494e761-a9d2-4666-a2ea-76f8da7da8e5,no_nb06_record
0496eaea-a330-4a21-814d-89f428acccc0,no_nb06_record
049eda21-e852-4229-9fab-54c42ddce0f3,no_nb06_record
04a03551-13b6-430f-8d35-287cdcaec463,no_nb06_record
04a212d4-90f3-4d7d-8dc3-4ed25090bd38,no_nb06_record
04a277b1-d99e-4f0f-a8df-91445444766a,no_nb06_record
04a2f6c1-ffba-49d3-91e8-9bf80068ac05,no_nb06_record
04a5c6f1-a172-404a-844c-7af6520d73fc,no_nb06_record
04a6a457-f7de-422c-80d7-0f7a3874ef19,no_nb06_record
04ab40af-8643-4c19-8a39-6bdeddcf00cc,no_nb06_record
04ae618f-6850-4583-b4a7-0eb83337bb3e,no_nb06_record
04b0c3e2-a949-4167-a869-012991b75bae,no_nb06_record
04c5c4ff-2b1c-46d2-96ef-5bc2a51e0128,no_nb06_record
04caaf65-48d3-4b83-9981-62a58343d510,no_nb06_record
04cd61f3-8445-4560-b99b-d440e167bc49,no_nb06_record
04e8bb91-5304-4dcc-ae74-a976a81ce1e1,no_nb06_record
04efc10c-475e-486f-86ed-96c834971f84,no_nb06_record
0501f907-8287-4ce6-a75f-242aee3528ee,no_nb06_record
0505b668-a132-4dd7-a049-530b28ff0651,no_nb06_record
0505ec8f-0d56-43ce-97b8-924701abb616,no_nb06_record
050a015e-5be4-40c3-85dc-43006b59a794,no_nb06_record
050bc229-1883-4683-9769-fc16dcab4445,no_nb06_record
050eb064-3c9b-4898-8791-51a7934447a4,no_nb06_record
052de8f9-41cf-4fd8-8809-11931eb9e78b,no_nb06_record
05355617-cdbf-4f17-b323-9d56b0be8ea0,no_nb06_record
0536c91d-7394-4faa-9f15-b9a38995e45f,no_nb06_record
0543d103-0eb4-4ab1-bb4f-794850615000,no_nb06_record
0543fb97-2e45-471d-a79d-4fe99c36b056,no_nb06_record
0547a626-09ae-43fa-802e-8619e5dea8ce,no_nb06_record
0547ff47-a5e1-4f03-a659-55601c240a0f,no_nb06_record
0551aefc-0a41-4197-ba82-5b4035ca2a15,no_nb06_record
0563dca3-c82b-44d0-b61c-bfc79e91d47a,no_nb06_record
0568c6a4-864a-44d0-a3d4-46651f9e3756,no_nb06_record
056f02b0-5ca4-4cd9-9999-95ceb3dcc119,no_nb06_record
05728a9c-cab2-4f91-886a-b3f5b9186260,no_nb06_record
0574e2c4-04fb-445c-a4ea-1e0a1f03edfb,no_nb06_record
05799c59-a13d-475e-a405-ef26510e8e83,no_nb06_record
057cec88-5bb5-4d0b-9459-cd8308849115,no_nb06_record
05823a5a-a1e2-4ea0-96ea-3cf439f4ad37,no_nb06_record
058cbdcc-f5b5-4a70-ac56-6f818e9dc929,no_nb06_record
05980a94-104c-4b9b-a8b0-27da5a5aabe2,no_nb06_record
059b823e-881e-4949-8bb0-b1c606dbc72b,no_nb06_record
059fb997-ee09-41ba-aedc-0e8cd2a1d140,no_nb06_record
05b2b3be-c38d-4520-a0cd-fe8a7b509690,standalone_vl_invalid(vulnerability)
05b5d8f1-9e7f-4379-9958-125c203d12ac,no_nb06_record
05be30c6-d56f-4f9a-9f12-551adc754147,no_nb06_record
05ca6342-f524-41cb-a088-45e64c3b39c5,no_nb06_record
05d82fd1-c2a8-402a-86f5-745837553eed,no_nb06_record
05da33cf-be53-44cd-941f-f820d4215205,no_nb06_record
05db71f0-37c3-4753-bf5e-539b8fb7ab6e,no_nb06_record
05e15271-8c64-4569-a0a5-4991a64c0b52,no_nb06_record
05eb537e-dd65-4c11-882d-e21d31fdd38f,no_nb06_record
05eeb4a8-9b02-4acf-a6e7-2e8e44179a0c,no_nb06_record
05f0b20c-1bc1-416c-8cf2-f238befb30e4,no_nb06_record
05f59abe-7c04-4d00-992b-90aee45d403b,standalone_vl_invalid(vulnerability)
05f7d816-b6ed-4d1c-86ea-983d8a87f8c1,no_nb06_record
060169b5-6c81-4eee-a1fa-ee1a1464ded3,no_nb06_record
0614d985-a44f-42eb-9634-3165906282f7,no_nb06_record
061bb586-ca64-42f0-8c30-41d4a02c770a,no_nb06_record
06282dc6-97c7-49c0-8634-410f19a4208d,no_nb06_record
06290ffb-4519-4975-9b00-b8b60ab8c42a,no_nb06_record
06305105-6846-4e69-ac1f-4e87aadb142a,no_nb06_record
06332ab8-a11c-4ce5-b396-208338e5ec3f,no_nb06_record
06350fd4-13f9-4712-b760-8129a679b602,no_nb06_record
063afff3-5a24-4713-87db-5ca226143456,no_nb06_record
063d6171-d63e-4cc7-93d9-42ce070eaad7,no_nb06_record
0642de3d-9bb1-4e74-a087-72fc2c7228a9,no_nb06_record
0647d33e-530a-46dc-866e-d11e32e98303,no_nb06_record
064d2d70-38f2-4db4-a307-58e26348dcd7,no_nb06_record
0651b8f5-e2a3-41bf-be1e-eb63a3b9030e,no_nb06_record
0651dad2-7b1e-4196-bf41-586790a4dd7a,no_nb06_record
065a4231-355b-495f-8c43-e2e99cbc824a,no_nb06_record
0660a5a7-38cf-472a-acbb-b8abaa0b3f3a,no_nb06_record
066b9e83-ccc2-4e44-964c-eb81da61167e,no_nb06_record
066e1020-c81b-4386-a2bb-b37c01b5d4a2,no_nb06_record
0670da12-797c-4249-943a-3980430a09f7,no_nb06_record
068edd2e-eddb-4f28-81cd-b74c20f86916,no_nb06_record
069399bd-0577-420e-a4ce-e75a4cbbb3eb,no_nb06_record
06951f3f-c54b-44fe-8bd6-c0e8b48eca93,no_nb06_record
0698bf11-bcdc-46f0-b2a4-d40f4f394284,no_nb06_record
06a84bdf-b415-4f4a-8fc8-853b44807508,no_nb06_record
06aec413-24ae-409f-9f74-586bc6c4c160,no_nb06_record
06b4ea0f-6cc8-4d8d-91d5-8b836bc451b3,no_nb06_record
06b7fe8c-9f16-4734-8821-da5dc3eac9c2,no_nb06_record
06bb725c-35a2-4ad5-94cf-4772c00b8c77,no_nb06_record
06be7c70-af1d-4f08-8372-82d9a445a814,no_nb06_record
06c3aff4-9cf3-4314-b36c-b851014ad310,no_nb06_record
06c4cd1d-a7a7-41fe-8354-f61104b7f9b7,no_nb06_record
06c9c2ab-4c07-41ff-976a-a375e2814e61,no_nb06_record
06ccdea4-03c1-436b-a421-40b8123b3b28,no_nb06_record
06d09a08-c2e9-455e-8625-08aa01371943,no_nb06_record
06d1da7f-9bd4-4d10-ae68-57db9f0334d2,no_nb06_record
06dbd563-992e-4db0-be81-02fb2f8dfff2,no_nb06_record
06dfc59b-f122-4c55-abeb-115911719776,no_nb06_record
06e71ce9-84c2-4784-9cdb-ffc5c6607ddb,no_nb06_record
06e754b2-0ffb-468b-81a1-6ca74719e639,no_nb06_record
06ec8169-4639-487e-add0-44f497f1b0cd,no_nb06_record
06f147b4-6b34-42f1-bec9-54c960446f31,no_nb06_record
06f7f0bc-ab0e-4a4c-9d23-ce7aeb227cfe,no_nb06_record
06fb2aa6-bb24-474e-ac3c-3468762066c7,no_nb06_record
06fb448e-bdea-49fa-9129-97ab53e6da0d,no_nb06_record
